formation,section,stepTitle,filename,sizeBytes,sourceBlockId
Mon allaitement des premiers jours,Ce que vous devez savoir,Comment bien démarrer votre allaitement ? (60 mn),Allaitement de jumeaux _ Parole de Mamans.pdf,259072,09e3e5d1-0690-4460-92ed-3c19be7a6d6a
Mon allaitement des premiers jours,Ce que vous devez savoir,Comment se passent les premières tétées ?,L'allaitement sans douleur ! _ Parole de Mamans.pdf,171008,ed546c40-8c9f-47bb-8b6d-27924cccace4
Mon allaitement des premiers jours,Ce que vous devez savoir,Pourrai-je allaiter si j’ai eu une césarienne ?,Tout savoir sur la position ballon de rugby _ Santé magazine.pdf,142336,8760c59c-7564-4feb-acbc-8c1f95e2552e
Mon allaitement des premiers jours,Ce que vous devez savoir,Pourrai-je allaiter si j’ai eu une césarienne ?,Césarienne - Doctissimo.pdf,151552,8760c59c-7564-4feb-acbc-8c1f95e2552e
Mon allaitement des premiers jours,Ce que vous devez savoir,Comment se passer des bouts de sein en silicone ?,60_Les bouts de sein en silicone.pdf,715776,c792508a-67ff-4be5-adbc-efd5b15c4e04
Mon allaitement des premiers jours,Ce que vous devez savoir,Comment se passer des bouts de sein en silicone ?,Bouts de sein _ Parents.pdf,138240,c792508a-67ff-4be5-adbc-efd5b15c4e04
Je reprends une activité professionnelle,Maintenir une lactation solide,Comment obtenir plus de lait au tire-lait ?,Tirer son lait _ Journal des femmes.pdf,130048,65cab878-a3a8-4b49-a710-3fc8b4201933
Mon allaitement au fil des mois,Je veux plus de lait,Comment savoir si mon bébé reçoit toujours assez de lait ?,"Je n'ai pas assez de lait, que dois-je faire _ _ Parole de Mamans.pdf",222208,9325c108-422b-4c73-8751-634b50e854e0
Les urgences de l'allaitement,Comment remédier à mes crevasses ?,Comment remédier à mes crevasses ?,Les crevasses - Doctissimo.pdf,147456,4e3e4750-7a11-417d-9ace-04e7b1c2f728
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Ce que vous devez savoir,Les conseils pour bien démarrer son allaitement _ Parole de Mamans.pdf,305152,fea34865-2fd9-4280-8317-f607669f52c5
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Ce que vous devez savoir,Les bienfaits du peau à peau avec bébé - Santé Magazine.pdf,83968,fea34865-2fd9-4280-8317-f607669f52c5
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Comment savoir si mon bébé reçoit assez de lait ?,5_Evaluez votre allaitement.pdf,227328,1dfaf633-3302-4010-8bba-789c4e28194a
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Comment ne pas laisser mon compagnon de côté ?,Parents magazine_La place du second parent dans l'allaitement.pdf,82944,e3c8418a-9fa9-4cfc-a399-3518f4075d2c
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Quelques idées reçues,CdP - Vaccins-et-immunotherapie.pdf,685056,ace1e172-2f52-4948-a888-6ed7be1260d5
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Quelques idées reçues,CdP - Troubles de la glycémie.pdf,13312,ace1e172-2f52-4948-a888-6ed7be1260d5
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Quelques idées reçues,Cdp - Tabagisme et produits de substitution.pdf,114688,ace1e172-2f52-4948-a888-6ed7be1260d5
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Quelques idées reçues,CdP - Stomatologie et dentisterie.pdf,156672,ace1e172-2f52-4948-a888-6ed7be1260d5
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Quelques idées reçues,CdP - Sédatifs et anxiolytiques.pdf,23552,ace1e172-2f52-4948-a888-6ed7be1260d5
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Quelques idées reçues,CdP - Pathologies thyroidiennes.pdf,19456,ace1e172-2f52-4948-a888-6ed7be1260d5
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Quelques idées reçues,CdP - Ophtalmologie.pdf,205824,ace1e172-2f52-4948-a888-6ed7be1260d5
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Quelques idées reçues,Cdp - hyperacidité gastrique.pdf,156672,ace1e172-2f52-4948-a888-6ed7be1260d5
Pack - L'essentiel de l'allaitement,Je me prépare à allaiter,Quelques idées reçues,CdP - Gastro-entérologie 1.pdf,139264,ace1e172-2f52-4948-a888-6ed7be1260d5
