date_iso;jour;date_source;duree;intitule;pole;commentaire
2027-01-04;Lu;4/1/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-01-05;Ma;5/1/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-01-07;Je;7/1/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-01-11;Lu;11/1/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-01-12;Ma;12/1/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-01-13;Me;1/13/2027;1;ATELIER ALLAITEMENT;EDBN;
2027-01-18;Lu;1/18/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2 - a deleguer
2027-01-19;Ma;1/19/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2 - a deleguer
2027-01-20;Me;1/20/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-01-23;Sa;1/23/2027;1;FORMATION CFPCO;EXTERNE;Jour 1/2
2027-01-24;Di;1/24/2027;1;FORMATION CFPCO;EXTERNE;Jour 2/2
2027-01-27;Me;1/27/2027;0,5;LE SEVRAGE;EDBN;
2027-01-28;Je;1/28/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 1/6 - Jour 1/2
2027-01-29;Ve;1/29/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 1/6 - Jour 2/2
2027-02-01;Lu;1/2/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-02-02;Ma;2/2/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-02-04;Je;4/2/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-02-05;Ve;5/2/2027;0,5;RENCONTRE EN APARTE - GRANDIR NATURE;CONFERENCE;creneau 12h-14h30
2027-02-08;Lu;8/2/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-02-09;Ma;9/2/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-02-10;Me;10/2/2027;1;ATELIER ALLAITEMENT;EDBN;Mercredi travaille (exception)
2027-02-12;Ve;12/2/2027;1;ALLAITEMENT ET PREMATURITE;EDBN;
2027-02-16;Ma;2/16/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-02-17;Me;2/17/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-02-18;Je;2/18/2027;1;ATELIER ALLAITEMENT;EDBN;
2027-02-19;Ve;2/19/2027;1;ALLAITEMENT ET REPRISE DU TRAVAIL (formation propre);FORMATION PROPRE;
2027-03-01;Lu;1/3/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-03-02;Ma;2/3/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-03-04;Je;4/3/2027;1;FORMATION DYSKATE;EXTERNE;Jour 1/2
2027-03-05;Ve;5/3/2027;1;FORMATION DYSKATE;EXTERNE;Jour 2/2
2027-03-08;Lu;8/3/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-03-09;Ma;9/3/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-03-11;Je;11/3/2027;1;LE TIRE-ALLAITEMENT;EDBN;
